"chinese","sign"
"關係","關係"
"親戚","親戚"
"接力賽跑","接力賽跑"
"鬆了一口氣","鬆了一口氣"
"勉強","勉強"
"保存","保存"
"背誦","背誦"
"借","借"
"租","租"
"報告","報告"
"名譽","名譽"
"救","救"
"研究","研究"
"辭職","辭職"
"抗拒","抗拒"
"尊敬","尊敬"
"負責","負責"
"休息","休息"
"餐廳","餐廳"
"恢復","恢復"
"退步","退步"
"揭開","揭開"
"回復","回復"
"革命","革命"
"轉","轉"
"犀牛","犀牛"
"米","米"
"稀飯","稀飯"
"粽子","粽子"
"有錢","有錢"
"譏笑","譏笑"
"右","右"
"拼命","拼命"
"河","河"
"路","路"
"平交道","平交道"
"搶","搶"
"強盜","強盜"
"火箭","火箭"
"捲","捲"
"搓(湯圓)","搓(湯圓)"
"溜冰","溜冰"
"室","室"
"繩子","繩子"
"玫瑰","玫瑰"
"圓","圓"
"划","划"
"划船","划船"
"橡皮擦","橡皮擦"
"橄欖球","橄欖球"
"規則","規則"
"跑","跑"
"流鼻涕","流鼻涕"
"奔波","奔波"
"蘇(姓)","蘇(姓)"
"傷心","傷心"
"帆船","帆船"
"口沫","口沫"
"鹹","鹹"
"一樣","一樣"
"通用","通用"
"三重","三重(地名)"
"三明治","三明治"
"聖誕老人","聖誕老人"
"星期六","星期六"
"節省","節省"
"存錢","存錢"
"珍惜","珍惜"
"士","士"
"學校","學校"
"剪刀","剪刀"
"罵","罵"
"刮(彩卷)","刮(彩卷)"
"海","海"
"取消","取消"
"季","季"
"第二個","第二個"
"第二名","第二名"
"乙","乙"
"保密","保密"
"秘密","秘密"
"秘密戀愛","秘密戀愛"
"段","段"
"見","見"
"探索","探索"
"看多了","看多了"
"把握時間","把握時間"
"自己","自己"
"自立自強","自立自強"
"自私","自私"
"售","售"
"高中","高中"
"分","分"
"佣人","佣人"
"服務","服務"
"七","七"
"7-11","7-11"
"七十","七十"
"縫","縫"
"生殖器","生殖器"
"性交","性交"
"影子","影子"
"搖動","搖動"
"握手","握手"
"淺","淺"
"丟臉","丟臉"
"不要臉","不要臉"
"刮鬍子","刮鬍子"
"剃光頭","剃光頭"
"她","她"
"貝","貝"
"事","事"
"卸責給他","卸責給他"
"士林","士林"
"卸責","卸責"
"襯衫","襯衫"
"鞋子","鞋子"
"低","低"
"近","近"
"拮据","拮据"
"短袖","短袖"
"捷徑","捷徑"
"應該","應該"
"吼","吼"
"示範","示範"
"顯眼","顯眼"
"蝦","蝦"
"閉嘴","閉嘴"
"百葉窗","百葉窗"
"害羞","害羞"
"生病","生病"
"邊","邊"
"手語","手語"
"報名","報名"
"細","細"
"銀","銀"
"如同","如同"
"以為","以為"
"老實","老實"
"多才多藝","多才多藝"
"身兼數職","身兼數職"
"唱","唱"
"沉","沉"
"坐","坐"
"情形","情形"
"六","六"
"小六","小六"
"六十","六十"
"滑雪","滑雪"
"厲害","厲害"
"皮","皮"
"裙子","裙子"
"天","天"
"睡","睡"
"打盹","打盹"
"睏","睏"
"溜滑梯","溜滑梯"
"拖鞋","拖鞋"
"慢","慢"
"揍人","揍人"
"狡猾","狡猾"
"聰明","聰明"
"抹片","抹片"
"聞","聞"
"臭","臭"
"微笑","微笑"
"走私","走私"
"零食","零食"
"蝸牛","蝸牛"
"蛇","蛇"
"折斷","折斷"
"雪","雪"
"所謂","所謂"
"肥皂","肥皂"
"足球","足球"
"社會","社會"
"離開","離開"
"襪子","襪子"
"汽水","汽水"
"佔領","佔領"
"軟","軟"
"柔軟","柔軟"
"孤獨","孤獨"
"解決","解決"
"翻跟斗","翻跟斗"
"兒子","兒子"
"對不起","對不起"
"靈魂","靈魂"
"聲音","聲音"
"湯","湯"
"酸","酸"
"南","南"
"南美洲","南美洲"
"南","南"
"南極","南極"
"醬油","醬油"
"豆漿","豆漿"
"寬","寬"
"西班牙","西班牙"
"扭傷","扭傷"
"說","說"
"說話","說話"
"優待","優待"
"特別","特別"
"專長","專長"
"名產","名產"
"話","話"
"演講","演講"
"快艇","快艇"
"蜘蛛","蜘蛛"
"精神","精神"
"運動","運動"
"流傳","流傳"
"下學期","下學期"
"一年級下學期","一年級下學期"
"發芽","發芽"
"奸細","奸細"
"松鼠","松鼠"
"郵票","郵票"
"站","站"
"排隊","排隊"
"站起來","站起來"
"星星","星星"
"楊桃","楊桃"
"打開","打開"
"吃驚","吃驚"
"嚇一跳","嚇一跳"
"州","州"
"站牌","站牌"
"小偷","小偷"
"包子","包子"
"步驟","步驟"
"貼","貼"
"黏","黏"
"依然","依然"
"刺激","刺激"
"攪","攪"
"炒","炒"
"股票","股票"
"胃","胃"
"石頭","石頭"
"止","止"
"儲放","儲放"
"倉庫","倉庫"
"樓","樓"
"故事","故事"
"直","直"
"奇怪","奇怪"
"條紋","條紋"
"力量","力量"
"嚴格","嚴格"
"強","強"
"壯","壯"
"固執","固執"
"學生","學生"
"學生證","學生證"
"唸書","唸書"
"湯圓","湯圓"
"笨","笨"
"副","副"
"部屬","部屬"
"代替","代替"
"剩","剩"
"一瞬間","一瞬間"
"賠本","賠本"
"划不來","划不來"
"多的是","多的是"
"釋迦","釋迦"
"甜","甜"
"甘蔗","甘蔗"
"提出","提出"
"建議","建議"
"自殺","自殺"
"西裝","西裝"
"太陽","太陽"
"孫","孫(姓)"
"星期天","星期天"
"晴天","晴天"
"日出","日出"
"夕陽","夕陽"
"較優","較優"
"供應","供應"
"支持","支持"
"場","場"
"大於勝過","大於勝過"
"投降","投降"
"吊橋","吊橋"
"燕子","燕子"
"瑞典","瑞典"
"打掃","打掃"
"掃地","掃地"
"清明節","清明節"
"地瓜","地瓜"
"游泳","游泳"
"欺騙","欺騙"
"鞦韆","鞦韆"
"瑞士","瑞士"
"劍","劍"
"系列","系列"
"桌子","桌子"
"不約而同","不約而同"
"台中","台中"
"最後","最後"
"裁縫","裁縫"
"台南","台南"
"台北","台北"
"台灣","台灣"
"肉圓","肉圓"
"歌仔戲","歌仔戲"
"取","取"
"佔便宜","佔便宜"
"保重","保重"
"照顧","照顧"
"脫衣","脫衣"
"依序","依序"
"長舌","長舌"
"高","高"
"淡水","淡水(地名)"
"坦克車","坦克車"
"錄音帶","錄音帶"
"錄音","錄音"
"泰山","泰山"
"味道","味道"
"沒味道","沒味道"
"稅","稅"
"計程車","計程車"
"茶","茶"
"教","教"
"老師","老師"
"技巧","技巧"
"電報","電報"
"電話","電話"
"望遠鏡","望遠鏡"
"電視","電視"
"告訴","告訴"
"實話實說","實話實說"
"廟","廟"
"暫時","暫時"
"暫停","暫停"
"十","十"
"萬","萬"
"十萬","十萬"
"考","考"
"泰國","泰國"
"感謝","感謝"
"一言為定","一言為定"
"他倆","他倆"
"我倆","我倆"
"你倆","你倆"
"視野狹窄","視野狹窄"
"全台灣","全台灣"
"電影院","電影院"
"就","就"
"那","那"
"一定沒有問題","一定沒有問題"
"他們","他們"
"厚","厚"
"瘦","瘦"
"薄","薄"
"東西","東西"
"想","想"
"丙","丙"
"口渴","口渴"
"三十","三十"
"這","這"
"千","千"
"三","三"
"喉","喉"
"扔掉","扔掉"
"圖釘","圖釘"
"星期四","星期四"
"老虎","老虎"
"時間","時間"
"時候","時候"
"丁","丁(姓)"
"勞累","勞累"
"乏味","乏味"
"辛苦","辛苦"
"頒獎","頒獎"
"聽說","聽說"
"出租","出租"
"死背","死背"
"入殮","入殮"
"投奔","投奔"
"花錢","花錢"
"一同","一同"
"一起","一起"
"馬桶","馬桶"
"衛生紙","衛生紙"
"蕃茄","蕃茄"
"明天","明天"
"嫌少","嫌少"
"慘不忍睹","慘不忍睹"
"太多","太多"
"牙齒","牙齒"
"牙刷","牙刷"
"頂","頂"
"接觸","接觸"
"豆腐","豆腐"
"不認輸","不認輸"
"拖吊","拖吊"
"向","向"
"軌道","軌道"
"交通","交通"
"塞車","塞車"
"訓練","訓練"
"火車","火車"
"翻譯","翻譯"
"運輸","運輸"
"旅行團","旅行團"
"旅行","旅行"
"環遊世界","環遊世界"
"樹","樹"
"發抖","發抖"
"三角形","三角形"
"三腳架","三腳架"
"傷腦筋","傷腦筋"
"卡車","卡車"
"真","真"
"試試看","試試看"
"曹","曹(姓)"
"星期二","星期二"
"拔河","拔河"
"不倒翁","不倒翁"
"火雞","火雞"
"熄燈","熄燈"
"轉鈕","轉鈕"
"蘿蔔","蘿蔔"
"周轉","周轉"
"龜","龜"
"二十","二十"
"二","二"
"兩個","兩個"
"二合一","二合一"
"上兩星期","上兩星期"
"打字","打字"
"颱風","颱風"
"醜","醜"
"超音波","超音波"
"雨傘","雨傘"
"不會","不會"
"想不起來","想不起來"
"不認識","不認識"
"不清楚","不清楚"
"不在乎","不在乎"
"不知不覺","不知不覺"
"地下道","地下道"
"不料","不料"
"不認識","不認識"
"當耳邊風","當耳邊風"
"制服","制服"
"統一","統一"
"一枝獨秀","一枝獨秀"
"聯合","聯合"
"美國","美國"
"除非","除非"
"開鎖","開鎖"
"不幸","不幸"
"倒楣","倒楣"
"看不順眼","看不順眼"
"壞話","壞話"
"不合適","不合適"
"不服","不服"
"上","上"
"升級","升級"
"著急","著急"
"小便","小便"
"用","用"
"沒有用","沒有用"
"不必","不必"
"沒有用","沒有用"
"放假","放假"
"休假","休假"
"陰部","陰部"
"價值","價值"
"等等","等等"
"各式各樣","各式各樣"
"茫茫","茫茫"
"菜","菜"
"素食","素食"
"很","很"
"獸醫","獸醫"
"電動玩具","電動玩具"
"錄影帶","錄影帶"
"越南","越南"
"醋","醋"
"品德","品德"
"拜訪","拜訪"
"欣賞","欣賞"
"送醫","送醫"
"親臨","親臨"
"志願","志願"
"排球","排球"
"冊","冊"
"吐","吐"
"投票","投票"
"俗氣","俗氣"
"腰","腰"
"等","等"
"給你好看","給你好看"
"侍者","侍者"
"醒","醒"
"走","走"
"行","行"
"徘徊","徘徊"
"牆","牆"
"王","王"
"要","要"
"水性楊花","水性楊花"
"打仗","打仗"
"暖和","暖和"
"溫泉","溫泉"
"洗","洗"
"洗臉","洗臉"
"洗髮","洗髮"
"浪費","浪費"
"白費","白費"
"手錶","手錶"
"菱角","菱角"
"水","水"
"瀑布","瀑布"
"西瓜","西瓜"
"瓜子","瓜子"
"波浪","波浪"
"蓮霧 ","蓮霧 "
"我們","我們"
"弱","弱"
"武器","武器"
"星期三","星期三"
"秤","秤"
"迎接","迎接"
"歡迎","歡迎"
"井","井"
"乖","乖"
"西","西"
"西餐","西餐"
"鯨魚","鯨魚"
"什麼","什麼"
"日期","日期"
"星期幾","星期幾"
"幾時","幾時"
"怎麼辦","怎麼辦"
"任意","任意"
"麥","麥"
"哪裡","哪裡"
"幾月","幾月"
"什麼","什麼"
"白","白"
"紙","紙"
"誰","誰"
"全部","全部"
"為什麼","為什麼"
"寡婦","寡婦"
"鰥夫","鰥夫"
"太太","太太"
"答應","答應"
"柳樹","柳樹"
"野柳","野柳"
"勝利","勝利"
"秋","秋"
"窗","窗"
"酒","酒"
"翅膀","翅膀"
"口哨","口哨"
"退","退"
"凋萎","凋萎"
"狼","狼"
"女同性戀","女同性戀"
"餛飩","餛飩"
"懷疑","懷疑"
"木","木"
"啄木鳥","啄木鳥"
"詞","詞"
"上班","上班"
"世界","世界"
"擔心","擔心"
"包","包"
"擰","擰"
"寫","寫"
"寫單據","寫單據"
"文","文"
"毛筆","毛筆"
"筆談","筆談"
"吳","吳"
"仙","仙"
"汐止","汐止(地名)"
"楊","楊(姓)"
"院子","院子"
"打哈欠","打哈欠"
"一年","一年"
"黃","黃(姓)"
"昨天","昨天"
"原諒","原諒"
"你","你"
"你們","你們"
"少年","少年"
"弟弟","弟弟"
"妹妹","妹妹"
"屬於你","屬於你"
"于","于"
"零","零"
"之","之"
"中壢","中壢"
"拉鍊","拉鍊"
"打敗","打敗"
"公共汽車","公共汽車"
"跛子","跛子"
"每週","每週"
"遇到","遇到"
"出殯","出殯"
"原住民","原住民"
"透視圖","透視圖"
"卡","卡"
"通學","通學"
"不及格","不及格"
"底片","底片"
"了","了"
"傷","傷"
"泡茶","泡茶"
"打量","打量"
"軍","軍"
"看錯了","看錯了"
"老","老"
"位","位"
"支持","支持"
"吞嚥","吞嚥"
"太","太"
"步行","步行"
"為什麼","為什麼"
"冤枉","冤枉"
"疹","疹"
"假借名義乞討","假借名義乞討"
"素","素"
"被","被"
"冤枉","冤枉"
"人拿過去","人拿過去"
"討帳","討帳"
"疹","疹"
"盛飯","盛飯"
"又","又"
"運氣差","運氣差"
"煞車","煞車"
"參考","參考"
"油條","油條"
"透過","透過"
"電","電"
"補","補"
"老鼠","老鼠"
"除夕","除夕"
"少一個","少一個"
"倒茶","倒茶"
"訓導處","訓導處"
"矮","矮"
"雪","雪"
"子","子"
"依然","依然"
"高","高"
"紅蘿蔔","紅蘿蔔"
"白蘿蔔","白蘿蔔"
"光","光"
"肥肉","肥肉"
"夾菜","夾菜"
"汽水","汽水"
"社會","社會"
"零分","零分"
"洗車","洗車"
"EMAIL","EMAIL"
"高鐵","高鐵"
"台北捷運","台北捷運"
"高雄捷運","高雄捷運"
"飆車 ","飆車 "
"飆車","飆車"
"古蹟","古蹟"
"名勝","名勝"
"澳門","澳門"
"米粉","米粉"
"獨生子","獨生子"
"獨生女","獨生女"
"排行老二","排行老二"
"排行老三","排行老三"
"排行老大","排行老大"
"排行老么","排行老么"
"堂哥","堂哥"
"表姊","表姊"
"爸爸媽媽","爸爸媽媽"
"兄弟姊妹","兄弟姊妹"
"公公","公公"
"婆婆","婆婆"
"岳母","岳母"
"姑丈","姑丈"
"嬸嬸","嬸嬸"
"姨丈","姨丈"
"舅媽","舅媽"
"大嫂","大嫂"
"妯娌","妯娌"
"女婿","女婿"
"姊夫","姊夫"
"外甥","外甥"
"姪子","姪子"
"外甥女","外甥女"
"壽司","壽司"
"飯糰","飯糰"
"燒餅","燒餅"
"燒餅油條","燒餅油條"
"羹","羹"
"起司","起司"
"牛奶","牛奶"
"果汁","果汁"
"紅茶","紅茶"
"綠茶","綠茶"
"珍珠奶茶","珍珠奶茶"
"開水","開水"
"可口可樂","可口可樂"
"百事可樂","百事可樂"
"椰子","椰子"
"柚子","柚子"
"奇異果","奇異果"
"烤","烤"
"自助餐","自助餐"
"夜市","夜市"
"牛排","牛排"
"義大利麵","義大利麵"
"便當","便當"
"碗粿","碗粿"
"刀削麵","刀削麵"
"甜不辣","甜不辣"
"布丁","布丁"
"豆花","豆花"
"果凍","果凍"
"蚵仔煎","蚵仔煎"
"貢丸","貢丸"
"花枝丸","花枝丸"
"素丸","素丸"
"魚丸","魚丸"
"蝦丸","蝦丸"
"蝦捲","蝦捲"
"小籠包","小籠包"
"火雞肉飯","火雞肉飯"
"大腸包小腸","大腸包小腸"
"米腸","米腸"
"香腸","香腸"
"棺材板","棺材板"
"太陽餅","太陽餅"
"薑母鴨","薑母鴨"
"麻糬","麻糬"
"米苔目","米苔目"
"擔仔麵","擔仔麵"
"蛋捲","蛋捲"
"鳳梨酥","鳳梨酥"
"萬巒豬腳","萬巒豬腳"
"全家便利商店","全家便利商店"
"OK便利商店","OK便利商店"
"好市多","好市多"
"幾年","幾年"
"大概","大概"
"破曉","破曉"
"黃昏","黃昏"
"半夜","半夜"
"打工","打工"
"兼差","兼差"
"耽誤","耽誤"
"耽誤 ","耽誤 "
"流利","流利"
"隔壁鄰居","隔壁(鄰居)"
"十字路口","十字路口"
"紅綠燈","紅綠燈"
"百貨公司","百貨公司"
"菜市場","菜市場"
"書局","書局"
"購物中心","購物(量販)中心"
"停車場","停車場"
"文化中心","文化中心"
"美容院","美容院"
"旅館","旅館"
"自動提款機(ATM)","自動提款機(ATM)"
"絡繹不絕","絡繹不絕"
"手機","手機"
"智慧型手機","智慧型手機"
"蘋果手機","蘋果手機"
"安卓系統","安卓系統 (手機系統)"
"三星","三星"
"SONY手機","SONY手機"
"運動場","運動場"
"操場","操場"
"高爾夫球場","高爾夫球場"
"網球","網球"
"羽毛球","羽毛球"
"排球","排球"
"壁球","壁球"
"躲避球","躲避球"
"電動玩具","電動玩具"
"油畫","油畫"
"水彩畫","水彩畫"
"國畫","國畫"
"木刻版畫","木刻版畫"
"購物","購物"
"赤崁樓","赤崁樓"
"孔廟","孔廟"
"植物","植物"
"礦物","礦物"
"廢物","廢物"
"食物","食物"
"菠菜","菠菜"
"米漿","米漿"
"榴槤","榴槤"
"拉麵","拉麵"
"鍋貼","鍋貼"
"上課","上課"
"教室","教室"
"休閒","休閒"
"履歷表","履歷表"
"經歷","經歷"
"對話","對話"
"啟聰學校","啟聰學校"
"薪水","薪水"
"牙膏","牙膏"
"毛巾","毛巾"
"浴巾","浴巾"
"浴帽","浴帽"
"安全帽","安全帽"
"洗髮精","洗髮精"
"沐浴乳","沐浴乳"
"浴室","浴室"
"客廳","客廳"
"拖鞋","拖鞋"
"皮鞋","皮鞋"
"礦泉水","礦泉水"
"吹風機","吹風機"
"冷氣機","冷氣機"
"洗衣機","洗衣機"
"吊扇","吊扇"
"筆記型電腦","筆記型電腦"
"扣子","扣子"
"蔥抓餅","蔥抓餅"
"豬血糕","豬血糕"
"蘿蔔糕","蘿蔔糕"
"紅豆餅","紅豆餅"
"米糕","米糕"
"豬腳麵線","豬腳麵線"
"海鮮","海鮮"
"高職","高職"
"申請","申請"
"科目","科目"
"藝術","藝術"
"科技","科技"
"科技大學","科技大學"
"學務處","學務處"
"國文","國文"
"十二生肖","十二生肖"
"企鵝","企鵝"
"荷花","荷花"
"梅花","梅花"
"松樹","松樹"
"豹","豹"
"金魚","金魚"
"商店","商店"
"媽祖廟","媽祖廟"
"城隍廟","城隍廟"
"圖書館","圖書館"
"美術館","美術館"
"活動中心","活動中心"
"文化中心","文化中心"
"公共廁所","公共廁所"
"麥當勞","麥當勞"
"胖老爹炸雞","胖老爹炸雞"
"設施","設施"
"尖","尖"
"濕","濕"
"蝨子","蝨子"
"角","角 (動物)"
"舌頭","舌頭"
"指甲","指甲"
"種子","種子"
"樹根","樹根"
"樹皮","樹皮"
"灰塵","灰塵"
"煙霧","煙霧"
"灰燼","灰燼"
"膨脹","膨脹"
"獵","獵"
"割","割"
"刺","刺"
"搔癢","搔癢"
"挖","挖"
"浮","浮"
"人口流動","人口流動"
"流動","流動"
"什麼時候","什麼時候"
"一些","一些"
"摩擦","摩擦"
"擦(桌子)","擦(桌子)"
"綁","綁"
"兆","兆"
"海獅","海獅"
"吉他","吉他"
"蘿蔔湯","蘿蔔湯"
"蛋花湯","蛋花湯"
"電子琴","電子琴"
"鯊魚","鯊魚"
"平板電腦","平板電腦"
"自由式","自由式"
"蛙式","蛙式"
"蝶式","蝶式"
"仰式","仰式"
"公車站","公車站"
"高鐵站","高鐵站"
"火車站","火車站"
"火車票","火車票"
"高鐵票","高鐵票"
"飛機票","飛機票"
"大家","大家"
"聽障","聽障"
"外公","外公"
"外婆","外婆"
"兄弟","兄弟"
"姊妹","姊妹"
"外孫","外孫"
"外孫女","外孫女"
"雙胞胎","雙胞胎"
"三胞胎","三胞胎"
"同性婚姻(男性)","同性婚姻(男性)"
"同性婚姻(女性)","同性婚姻(女性)"
"夫妻","夫妻"
"聾小孩","聾小孩"
"嫂嫂","嫂嫂"
"姊夫","姊夫"
"龍鳳胎","龍鳳胎"
"聽障小孩","聽障小孩"
"排行","排行"
"排行第幾","排行第幾"
"今年","今年"
"幾個星期前","幾個星期前"
"上個月","上個月"
"兩天後","兩天後"
"幾個星期後","幾個星期後"
"下個月","下個月"
"凌晨","凌晨"
"通宵","通宵"
"早餐","早餐"
"早午餐","早午餐"
"中餐","中餐"
"晚餐 ","晚餐 "
"每年","每年"
"手語課","手語課"
"鋼琴課","鋼琴課"
"英文課","英文課"
"數學課","數學課"
"LINE","LINE (通訊軟體)"
"研究所","研究所"
"國中一年級","國中一年級"
"國中二年級","國中二年級"
"國中三年級","國中三年級"
"高中一年級","高中一年級"
"高中二年級","高中二年級"
"高中三年級","高中三年級"
"大學一年級","大學一年級"
"國立中正大學","國立中正大學"
"國立清華大學","國立清華大學"
"國立交通大學","國立交通大學"
"國立成功大學","國立成功大學"
"東海大學","東海大學"
"國立台灣大學","國立台灣大學"
"逢甲大學","逢甲大學"
"民雄 ","民雄 "
"一半","一半"
"多久?","多久?"
"幾點?","幾點?"
"幾分鐘?","幾分鐘?"
"幾秒鐘?","幾秒鐘?"
"幾星期?","幾星期?"
"多少錢?","多少錢?"
"什麼事情?","什麼事情?"
"體重","體重"
"臉書","臉書"
"Instagram","Instagram"
"吃藥","吃藥"
"摩斯漢堡","摩斯漢堡"
"肯德基","肯德基"
"星巴克","星巴克"
"屈臣氏","屈臣氏"
"康是美","康是美"
"退化","退化"
"產出","產出"
"泡麵","泡麵"
"不是我","不是我"
"我沒有","我沒有"
"男追女","男追女"
"女追男","女追男"
"農曆","農曆"
"婦女節","婦女節"
"兒童節","兒童節"
"勞動節","勞動節"
"母親節","母親節"
"父親節","父親節"
"情人節","情人節"
"中元節","中元節"
"教師節","教師節"
"國定假日","國定假日"
"跨","跨"
"跨年","跨年"
"月餅","月餅"
"請假","請假"
"病假","病假"
"生理假","生理假"
"生理期","生理期"
"事假","事假"
"公假","公假"
"喪假","喪假"
"婚假","婚假"
"陪產假","陪產假"
"育嬰假","育嬰假"
"四季","四季"
"春天","春天"
"夏天","夏天"
"秋天","秋天"
"冬天","冬天"
"暑假","暑假"
"寒假","寒假"
"夏至","夏至"
"冬至","冬至"
"天氣","天氣"
"梅雨","梅雨"
"梅雨季節","梅雨季節"
"冰雹","冰雹"
"寒流","寒流"
"焚風","焚風"
"海嘯","海嘯"
"淹水","淹水"
"好久沒有","好久沒有"
"龍捲風","龍捲風"
"颱風假","颱風假"
"系","系"
"文學院","文學院"
"中國語文學系","中國語文學系"
"外國語文學系","外國語文學系"
"哲學系","哲學系"
"地球與環境科學系","地球與環境科學系"
"物理學系","物理學系"
"化學與生物學系","化學與生物學系"
"化學系","化學系"
"生物系","生物系"
"生命科學系","生命科學系"
"科","科"
"社會福利學系","社會福利學系"
"心理學系","心理學系"
"勞工關係學系","勞工關係學系"
"政治學系","政治學系"
"傳播學系","傳播學系"
"工學院","工學院"
"資訊工程學系","資訊工程學系"
"資訊","資訊"
"電機工程學系","電機工程學系"
"機械工程學系","機械工程學系"
"化學工程學系","化學工程學系"
"通訊工程學系","通訊工程學系"
"管理學院","管理學院"
"經濟學系","經濟學系"
"企業管理學系","企業管理學系"
"財務金融學系","財務金融學系"
"會計與科技資訊學系","會計與科技資訊學系"
"科技","科技"
"法學院","法學院"
"法律系","法律系"
"條文","條文"
"財經法律學系","財經法律學系"
"教育學院","教育學院"
"成人繼續教育學系","成人繼續教育學系"
"成人","成人"
"犯罪防治學系","犯罪防治學系"
"運動競技學系","運動競技學系"
"番茄","番茄"
"披薩","披薩"
"鮪魚","鮪魚"
"蓮霧","蓮霧"
"草莓","草莓"
"冬瓜","冬瓜"
"蘋果","蘋果"
"我會游泳","我/游泳/會"
"我會自由式","我/自由式/會"
"我會蛙式","我/蛙式/會"
"我會仰式","我/仰式/會"
"公公會游泳","公公/游泳/會"
"公公會自由式","公公/自由式/會"
"公公會蛙式","公公/蛙式/會"
"公公會仰式","公公/仰式/會"
"岳母會游泳","岳母/游泳/會"
"岳母會自由式","岳母/自由式/會"
"岳母會蛙式","岳母/蛙式/會"
"岳母會仰式","岳母/仰式/會"
"姑丈會游泳","姑丈/游泳/會"
"姑丈會自由式","姑丈/自由式/會"
"姑丈會蛙式","姑丈/蛙式/會"
"姑丈會仰式","姑丈/仰式/會"
"嬸嬸會游泳","嬸嬸/游泳/會"
"嬸嬸會自由式","嬸嬸/自由式/會"
"嬸嬸會蛙式","嬸嬸/蛙式/會"
"嬸嬸會仰式","嬸嬸/仰式/會"
"姨丈會游泳","姨丈/游泳/會"
"姨丈會自由式","姨丈/自由式/會"
"姨丈會蛙式","姨丈/蛙式/會"
"姨丈會仰式","姨丈/仰式/會"
"舅媽會游泳","舅媽/游泳/會"
"舅媽會自由式","舅媽/自由式/會"
"舅媽會蛙式","舅媽/蛙式/會"
"舅媽會仰式","舅媽/仰式/會"
"大嫂會游泳","大嫂/游泳/會"
"大嫂會自由式","大嫂/自由式/會"
"大嫂會蛙式","大嫂/蛙式/會"
"大嫂會仰式","大嫂/仰式/會"
"女婿會游泳","女婿/游泳/會"
"女婿會自由式","女婿/自由式/會"
"女婿會蛙式","女婿/蛙式/會"
"女婿會仰式","女婿/仰式/會"
"姊夫會游泳","姊夫/游泳/會"
"姊夫會自由式","姊夫/自由式/會"
"姊夫會蛙式","姊夫/蛙式/會"
"姊夫會仰式","姊夫/仰式/會"
"外甥會游泳","外甥/游泳/會"
"外甥會自由式","外甥/自由式/會"
"外甥會蛙式","外甥/蛙式/會"
"外甥會仰式","外甥/仰式/會"
"姪子會游泳","姪子/游泳/會"
"姪子會自由式","姪子/自由式/會"
"姪子會蛙式","姪子/蛙式/會"
"姪子會仰式","姪子/仰式/會"
"外甥女會游泳","外甥女/游泳/會"
"外甥女會自由式","外甥女/自由式/會"
"外甥女會蛙式","外甥女/蛙式/會"
"外甥女會仰式","外甥女/仰式/會"
"弟弟會游泳","弟弟/游泳/會"
"弟弟會自由式","弟弟/自由式/會"
"弟弟會蛙式","弟弟/蛙式/會"
"弟弟會仰式","弟弟/仰式/會"
"妹妹會游泳","妹妹/游泳/會"
"妹妹會自由式","妹妹/自由式/會"
"妹妹會蛙式","妹妹/蛙式/會"
"妹妹會仰式","妹妹/仰式/會"
"太太會游泳","太太/游泳/會"
"太太會自由式","太太/自由式/會"
"太太會蛙式","太太/蛙式/會"
"太太會仰式","太太/仰式/會"
"我們會游泳","我們/游泳/會"
"我們會自由式","我們/自由式/會"
"我們會蛙式","我們/蛙式/會"
"我們會仰式","我們/仰式/會"

"我倆會游泳","我倆/游泳/會"
"我倆會自由式","我倆/自由式/會"
"我倆會蛙式","我倆/蛙式/會"
"我倆會仰式","我倆/仰式/會"
"他倆會游泳","他倆/游泳/會"
"他倆會自由式","他倆/自由式/會"
"他倆會蛙式","他倆/蛙式/會"
"他倆會仰式","他倆/仰式/會"
"老師會游泳","老師/游泳/會"
"老師會自由式","老師/自由式/會"
"老師會蛙式","老師/蛙式/會"
"老師會仰式","老師/仰式/會"
"外甥女會游泳","外甥女/游泳/會"
"外甥女會自由式","外甥女/自由式/會"
"外甥女會蛙式","外甥女/蛙式/會"
"外甥女會仰式","外甥女/仰式/會"






"他很孤單，需要陪伴","他/孤獨/他/要/陪伴/他"
"他們兩家從以前到現在積怨很久","房子/兩個/地方/這/這/以前/到/現在/積怨/久"
"他近來的行動怪異","他/過去的最近/行動/奇怪"
"寫作業會增加壓力 ","作業/寫/壓力/加/會"
"人人都要有冒險無懼的精神","每/人/你們/冒險/不怕/要/有"
"我完全不知道這件事","這/事情/我/完全/不知道"
"我家有事情要處理","我/家/有/事情/去/負責/做"
"家庭對人有很大的影響","人/家/地方/影響/大"
"他看見蜜蜂就害怕","蜜蜂/他/見/怕"
"自己去森林很危險","自己/去/森林/危險/很"
"這麼繁重的工作，真叫我害怕","這/工作/這些/我/怕/很"
"我和他很怕閃電","電/我/他/怕"
"今天下午要去打籃球","今天/下午/去/籃球"
"歡迎再度來到台灣","高興/歡迎/再/來/台灣"
"我想(同意)他一定來","我/同意/他/來/會/一樣"
"他到機場觀賞飛機起降","機場/他/去/見/飛機起降"
"爸爸完全不知道這件事","這/事情/爸爸/完全/不知道"
"他完全聽不懂我說的話","我/說/我/演講/告訴/他//全部/一竅不通/不知道"
"他經常睡不著","他/睡/做不成/老是"
"我老是忘記寫功課","讀書/寫/我/忘記/老是"
"爸爸很生氣","爸爸/生氣/很"
"氣象局宣布明天颱風會侵台","天氣/地方/這/宣佈/明天/台灣/颱風/這"
